,productid,title,price,description,console,console_Game Boy Advance,console_Game Boy Color,console_GameCube,console_Nintendo 64,console_Nintendo DS,console_Nintendo Wii,console_PC & Mac,console_PlayStation,console_PlayStation 2,console_PlayStation 3,console_PlayStation Portable,console_Sega Dreamcast,console_Sega Genesis,console_Super Nintendo,console_Xbox,console_Xbox 360,price_normalised,average_score,average_bert_pred_prob_pos,average_bert_pred_prob_nonpos,average_sentiment_vader,review_counts,average_sentiment_score,average_sentiment_label,adjusted_average_score,adjusted_average_sentiment_score,adjusted_average_sentiment_label,adjusted_average_bert_pred_prob_pos,adjusted_average_bert_pred_prob_nonpos,adjusted_average_sentiment_vader
11,B00024W1U6,Shin Megami Tensei Nocturne,18.2,this is the game shin megami tensei nocturne for the playstation 2 this game may not come with the original case and instructions we stand by our products and offer a 60 day guarantee if a game does not work within 60 days from the time you receive it we will gladly exchange it for you,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.404241862,4.875,0.623736958,0.376263039,0.6483375,8,1,Positive,3.833333333,1,Positive,0.554994203,0.445005795,0.565927778
12,B000088KH5,Freedom Fighters The Battle for Liberty Island,41.97,"freedom the battle for liberty island is set in a world where the soviet union won the cold war now a fierce conflict is beginning to unfold in the streets of america red army troops are pouring across the borders of mexico and canada shortly after a nuclear missile is unleashed on washington dc chaos sets in when breaking news informs americans that their president has been killed and the russians have invaded the country  players take on the role of a bluecollar worker who evolves into a charismatic and fearless freedom fighter obsessed with finding and freeing his brother who has been taken hostage along with other new yorkers by the soviets you must recruit and lead an army of urban guerillas to take on the soviet threat in the streets of new york city freedom the battle for liberty island provides two layers of gameplay a strategic turnbased mode that centers on base operations in an underground sewer system and an action mode that unfolds in the streets where fierce battles are won or lost and resources are captured	with the help of a ragged band of fighters take on the red menace in apocalyptic new york city",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.886157288,4.75,0.697561975,0.302438034,0.456625,4,1,Positive,3.5,1,Positive,0.556446279,0.443553724,0.487607143
13,B00005N9A7,"Age of Empires II, Gold Edition",11.4,"age of empires 2 gold edition unites the exciting game play ofboth age of empires 2 the age of kings and age of empires2 the conquerors expansion plus additional content for onecompelling gaming experience experience realtime evolution as youbuild your civilization into a flourishing empire from the dark ageto the imperial age decide whether to conquer the world throughmilitary might commerce and diplomacy or intrigue andregicide there are many paths to power but only one will reignsupreme age of empires 2 the age of kings spans 1000 yearsfrom the fall of rome through the middle ages players control thedestiny of one of 13 civilizations the game keeps the epic scope ofage of empires gameplay while evolving the combat and economicfeatures developed by ensemble studios age of empires 2features the expertise of bruce shelley co designer of age ofempires and the hit strategy game civilization age ofempires 2 the conquerors expansion adds five new civilizationsfour new campaigns 11 new units 26 new technologies real worldmaps and much more experience the adventure of the spanishconquistadors as they enter the exotic lands of the aztecs or relivethe destructive force of attilas pillaging huns this addon packfocuses on the armies and military thinking of a handful of historysgreatest tacticians including attila the hun el cid andmontezuma the new civilizations each have unique attributesbuildings and technologies such as chinese rocketry and persianmahouts youll put hussar cavalry kamikaze siege units andhalberdier infantry into battle in four allnew campaigns play up toeight other conquerors via modem internet or lan	age of empires ii gold edition unites the exciting game play of both microsoft age of empires ii the age of kings and age of empires ii the conquerors expansion  plus additional content  for one compelling gaming experience age of empires ii the age of kings spans 1000 years from the fall of rome through the middle ages in which players control the destiny of one of thirteen civilizations age of empires ii the conquerors expansion will challenge veterans and novices to wage war on an epic scale with allnew civilizations unique units and technologies and campaigns based on infamous conquerors such as attila the hun el cid and montezuma",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.773392649,4.916666667,0.803672049,0.196327958,0.81745,12,1,Positive,4.916666667,1,Positive,0.803672049,0.196327958,0.81745
14,B000FQ9R4E,Super Smash Bros. Brawl,28.3,the third instalment in nintendos popular super smash bros fighter franchise debuts on the wii in super smash bros brawl loaded with all the characters and features players have loved from the two previous versions plus much more it is a worthy addition to the series and yet another musthave title for the nintendo wii engage the rage with super smash bros brawl the third instalment of the incredibly successful super smash bros series is now on the wii the roster islonger than ever but that just means more butt to kick across over a dozen different graphicrich stages with original moves new modified moves and a brandnew super attack called final smash old favourites like mario link peach and kirby are now joined by such exciting newcomers as wario solid snake and sonic the hedgehog with a variety of new modes an absolutely epic soundtrack and the ability to play with distant friends through online multiplayer this is a game youll have to break your own fingers to put down original soundtrack from 36 different artists online multiplayer see your favourite smash bros character redesigned from their most recent games brawl onto your screen once again a host of new characters to fight with including sonic pit from kid icarus wario and diddy kong more than a dozen gorgeouslyrendered stages new special moves and attacks including the groundbreaking final smash new items and assist trophies,Nintendo Wii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.144055631,4.642857143,0.679843021,0.320156978,0.839010714,56,1,Positive,4.642857143,1,Positive,0.679843021,0.320156978,0.839010714
15,B000SFK0PW,Disney Princess: Enchanted Journey,19.99,"meet and interact with the popular disney princesses while expanding your creativity and exploring important themes such as courage friendship trust and discovery customize your own unique heroine character and enter a thrilling adventure through four funfilled levels help these amazing princesses restore order in their enchanted kingdoms and overcome the forces of evil    move through enchanted worlds view larger      meet familiar characters view larger     synopsis you can makes friends and interact with cinderella ariel snow white and jasmine each disney princess in the game has a different story and magical world that is waiting to be explored as you create your own princess character youll be able to choose dresses accessories hair skin tone eye color and even her name with beautiful levels to explore and exciting adventure elements this is one game sure to please the princess in you   key game features    make use of special magic as you move through four enchanted worlds   enter into belles world and meet belle and lumiere as an unlockable bonus   get rewards for successfully achieving goals   experience a variety of wonderful mini games   team up with a friend in cooperative gameplay	in disney princess enchanted journey girls play as their own customized heroine taking part in a fantastic adventure and helping the disney princesses restore order in their kingdoms girls exercise their creativity by choosing their characters name as well as customizing her look   selecting hair color skin tone dresses and more as they meet and interact with their favorite disney princesses girls discover that each disney princess has a unique story and magical world these stories inspire players as they ascertain the attributes of being a true princess  courage friendship trust and discovery the games twoplayer mode allows girls and their moms or friends to work together to fix the princess worlds format wii genrechildren ratingrp upc712725004309 manufacturer no07023301",Nintendo Wii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.307068346,3.958333333,0.679433832,0.320566158,0.755058333,24,1,Positive,3.958333333,1,Positive,0.679433832,0.320566158,0.755058333
16,B00005RDYT,Kabuki Warriors,7.99,"as an actorsamurai for a troop of kabuki warriors trying to travel from edo to kyoto you possess both strength and style along the way youll have to fight other kabuki troops garner the favor of the crowd to receive tips and trade warriors with your defeated counterparts when you arrive in kyoto you will need a very accomplished group of samurai to defeat the citys star troopbattle in winnertakeall competitions on stages across japan pummeling opponents and striking dramatic poses to gain the crowds favor and maxing out the popularity bar to perform devastating special attacks the game includes 24 characters each with different weapons and unique attacks such as fireballs fire storms lightning and tornadoes life and popularity bars affect attack abilities game modes include adventure time attack tournament and versus graphic effects such as bump mapping particle effects and vertex shading produce lifelike warriors and spectacular action	this is the game kabuki warriors for the xbox this game may not come with the original case and instructions we stand by our products and offer a 60 day guarantee if a game does not work within 60 days from the time you receive it we will gladly exchange it for you",Xbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.958510912,2,0.375608898,0.62439112,-0.140575,4,0,Non-Positive,2.714285714,0,Non-Positive,0.464459685,0.53554032,0.316978571
17,B000B69E9G,Resident Evil 4,15.45,in resident evil 4 youll know a new type of horror as the classic survivalhorror action returns with allnew characters controls and storylines we last saw leon s kennedy in resident evil 2  a rookie cop in raccoon city fighting to stay alive that was six years ago since then government forces have managed to control the zombie threat and leon has become a federal agent when the presidents daughter is kidnapped leon tracks her to a remote hidden fortress in europe  where hell relive the horror he faced six years before   players will face neverbeforeseen enemies that make nemesis seem like a kitten youll be wishing for the usual resident evil zombies,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.553530783,4.181818182,0.525914163,0.474085839,0.449054545,22,1,Positive,4.181818182,1,Positive,0.525914163,0.474085839,0.449054545
19,B000300HK0,Zoo Tycoon 2 with Bonus Animal Pen (Monkey or Tiger),29.93,featuring 30 incredibly detailed animals a dazzling array of building tools and objects a new zoom feature and 3d graphics that allow players to keep a closer eye on the action and craft more creative zoos zoo tycoon 2 is set to crank up the excitement challenge and fun of building the ultimate zoo  easy to start and easy to play zoo tycoon 2 gets you up close and interacting with the animals and zoo offering intuitive controls and fun tutorials that allow players of all ages to enjoy the game right out of the box from the start youll be immersed in the zoo experience with new features including the zoo guest mode in which you can walk around and enjoy the game like visitors on a day at the zoo zookeeper mode which allows you to interact with your animals as never before and a new photo mode which lets you snap pictures of your favorite animals and guests and share them with friends zoopedia detailing all types of entertaining and interesting facts about animals rounds out the new and improved features of the upcoming game,PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.232543246,2.6,0.380779218,0.619220788,0.96528,5,0,Non-Positive,2.866666667,0,Non-Positive,0.460259739,0.539740263,0.655093333
20,B00005TNI6,Final Fantasy X,19.99,"final fantasy x is the first title in this landmark rpg series to be released for the playstation2 the main characters are tidus a star of blitzball a hugely popular sport in the final fantasy universe and yuna who has learned the art of summoning and controlling aeons powerful spirits of yore these two people of different backgrounds must work together as they journey through the world of spira this installment of final fantasy has a distinctly asian influence bringing a fresh feel to the characters music settings and storyfeatures include voiceovers for the first time in the series utilizing the facial motion system highpolygon motioncaptured player characters designed by tetsuya nomura and a camera that automatically adjusts its perspective to correspond with the movements of the charactersa feature now possible because the game is largely polygonal	final fantasy x finally enters a fully polygonic world follow the main character tidus from a gripping blitzball tourney into a new primitive world where he must fight to survive a stunning level of realtime detail appears in each area including huge waterfilled areas that make up a large part of the environment an exciting combat system is turnbased thus allowing you the time to plot your actions without the need to worry about a constant barrage of enemy attacks youre also able to swap party members in and out of combat during battles and doing so is a free action lush visual elements enhance gameplay in this phenomenal action game",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.307068346,4.549668874,0.712486929,0.287513071,0.77207351,151,1,Positive,4.549668874,1,Positive,0.712486929,0.287513071,0.77207351
21,B00006F2ZQ,Metal Gear Solid 2: Substance,14.99,"metal gear solid 2 substance is the ps2 espionage action game metal gear solid 2 sons of liberty with new playable characters new vr missions and a few twists more than 350 new and moderately interesting vr missions fill in some of the gaps in the original games story there are also five separate snake stories that act as new missions these take place apart from the main story making them feel less like an expansion to the sprawling events in sons of liberty and more like an unconnected romp designed to pad the original game unfortunately the snake stories lack the thrill tension and exposition that made sons of liberty so special the substance is nothing more or less than a collection of disconnected additions to the core game sons of liberty which remains unchanged from its original release you play as solid snake in stealthy espionageassault missions infiltrating the lairs of bad guys to take down nuclearpowered bipedal creations called metal gears snake has all kinds of tricks up his sleeves high tech weapons the ability to sneak around undetectedhe can even flip over the side of a railing to hide a grip meter counts down increasing the tension and making you pray the enemy walks away both a boon and a detriment to the game is its reliance on cinematic scenes to further the convoluted plot theyre wellrendered and professionally done but youll seemingly find yourself spending more time watching the game than playing it  substance is worthwhile for anyone who doesnt already own sons of liberty that goes double for xbox and gamecube fans because the game looks much better on those consoles than it did on ps2 for those whove already played the original this reissue just doesnt add enough pardon me substance to merit purchasing it again bob andrews  pros   new modes and missions  graphics improvements on xbox and gamecube  cons   new content too sparse for players who already have the original game	you are a mercenary named solid snake entrusted with the battle against an array of enemies including metal gear a nuclear capable robot in this latest edition metal gear solid 2 substance you must stop deadly weapons of mass destruction from falling into the wrong hands secret weapons technology is being shipped on an oil tanker to an unknown destination you must infiltrate the transport and foil their evil plans",Xbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.578502748,3.8,0.5324279,0.467572086,0.87297,10,1,Positive,3.8,1,Positive,0.5324279,0.467572086,0.87297
23,B00070EBJE,MLB 2006,10.46,mlb 2006 features numerous gameplay enhancements for the upcoming season the allnew branch point technology bpt provides seamless fielding transitions and smooth base running the allnew playmaker fielding marker provides better fielding interaction with your player attributes with your skill level in order to make the play allnew release point pitching helps determine your ability to hit spots in the strike zone a deeper franchise mode and an allnew career mode where you call the shots with returning gameplay favorites including eyetoy functionality and online playability through 989sportsonlinecom mlb 2006 promises a truetolife experience for every pitch hit catch and throw from the moment you step onto the diamond,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.824422317,2.75,0.396442,0.603558002,0.3813,4,0,Non-Positive,2.928571429,0,Non-Positive,0.470412,0.529588001,0.466085714
25,B0006B0O9U,Super Mario 64 DS,28.41,nintendo 64s highly acclaimed 3d platform hit super mario 64 arrives on the nintendo ds with allnew features that take full advantage of the new portable systems dual screens touch screen and wireless multiplayer capability new characters stages and puzzles await players in addition to mario players are able to play as yoshi luigi and even wario each of whom has different abilities integral to collecting every last one of the 150 power stars hidden in the castle and grounds play through adventure mode engage in tons of new touchsensitive minigames or battle up to three friends in wireless versus mode which you can play with only one ds game card the top screen displays most of the principal action while the bottom screen is used for minichallenges control functionality such as analog stick emulation and a mapradar screen for battles,Nintendo DS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.150027188,4.722222222,0.697879466,0.302120543,0.846469444,36,1,Positive,4.722222222,1,Positive,0.697879466,0.302120543,0.846469444
26,B000QUYHIK,Brain Age 2: More Training in Minutes a Day!,18.66,hot on the heels of brain age train your brain in minutes a day the brain training phenomena grows with brain age 2 seventeen all new engaging activities designed to help work your brain and increase blood flow to the prefrontal cortex whether youre playing simple songs on a piano keyboard or monitoring the photo finish of a footrace youll love your new mental workout  features  17 brandnew activities keep training up to four save files keep track of your improvement expanded multiplayer compete with family and friends   what is brain age  brain age acts like a treadmill for the mind brain age 2 train your brain in minutes a day for nintendo ds is a fun rewarding game that helps you flex your mental muscles with quick activities that help keep your brain in shape brain age is inspired by the research of dr ryuta kawashima a prominent japanese neuroscientist his studies evaluated the impact of performing certain reading and mathematic exercises to help stimulate the brain  on your first day of exercise you will take a series of tests and get a score that determines how old your brain is this number is called your ds brain age perform daily exercises just minutes a day over weeks and months to get better at the exercises and lower your ds brain age   why is brain training good for you  we all know as we grow older our bodies change and it becomes important to regularly exercise to maintain health and fitness our brain is no different thats where brain age comes in  dr elizabeth zelinski dean and executive director of university of southern californias leonard davis school of gerontology says games like brain age can help keep older generations of americans minds active americans can do a great deal to maintain and even improve their mental abilities zelinski explains aging is about taking on new challenges for our minds nintendos brain age is a great way to do that   how does brain age work  the nintendo ds touch screen lets you write your answers with a stylus just as though you were writing on paper plus the nintendo dss voice input identifies particular words youll speak during games like the stroop test brain age tracks your progression through each exercise with easytoread line charts use brain age each day to open new exercises to test your ability  brain age includes a fun calculation competition for friends and familyits a snap to download this minigame to as many as 15 ds systems using only one brain age 2 game card  challenge yourself and find ways to stay sharp with the simplicity of the nintendo ds and brain ages challenging and rewarding exercises baby boomers and testprepping kids alike can stimulate their brains,Nintendo DS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.379269897,4.222222222,0.628414131,0.371585877,0.724316667,18,1,Positive,4.222222222,1,Positive,0.628414131,0.371585877,0.724316667
28,B000IONGWM,Virtua Tennis 3,26.91,virtua tennis 3 ps3,PlayStation 3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.068596867,4.25,0.822017153,0.177982873,0.95615,4,1,Positive,3.357142857,1,Positive,0.592004901,0.407995106,0.630328571
29,B000F3AADE,Dead Rising,9.99,dead rising follows the harrowing tale of frank west a freelance photojournalist after the scoop of a lifetime in a small suburban town thats overrun by zombies he escapes to the local shopping mall thinking it will be safe now its a standoff with zombies unable to get frank but him unable to get out  escape fortunately hes got an entire mall at his disposal utilize everything you can find to fight off the fleshhungry mob and search for the truth behind the horrendous epidemic,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.849937151,3.590909091,0.440197807,0.559802188,0.161159091,22,1,Positive,3.590909091,1,Positive,0.440197807,0.559802188,0.161159091
30,B00004U1R6,Tomb Raider: Chronicles,84.5,"four newly discovered and previously untold adventures are revealed when the closest friends of the missing lara croft gather in her honor as they reminisce about her past exploits they learn new details about her life as well as the lives of characters from her past adventures lara journeys from the ruins of rome to the bowels of a german uboat to the rooftops of a hightech city in search of four ancient artifacts the game uses the same graphics engine that was used in tomb raider the last revelation but introduces new moves tightrope walking parallelbar swinging and a handtohand stealth attack an enhanced inventory system allows for greater combinations of a variety of weapons and items create your own adventure with the tomb raider level editor which includes a tutorial level and all of the tools that are required to construct custom levels	upc 089836070050 organic white ground pepper ft 1 lbs by frontier herb dairy free low salt  low sodium  reduced sodium fair trade natural or organic ingredients gluten free wheat free kosher yeast free",PlayStation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.194978315,4.4,0.405395984,0.594604012,0.61356,5,1,Positive,3.466666667,1,Positive,0.468465328,0.531534671,0.537853333
34,B000G6SPHI,God of War 2,14.3,god of war 2 ps2,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.615960696,4.052631579,0.620095264,0.379904736,0.684157895,19,1,Positive,4.052631579,1,Positive,0.620095264,0.379904736,0.684157895
35,B00005O1GO,Zoo Tycoon,10.89,"this place is a real zooand youre in charge go wild running the most fun and beautiful zoo you can imagine care for unpredictable and untamed animals and those are just the guests plan wisely because if the animals dont like their food environment or handling they interact poorly with visitors and unhappy guests means fewer dollars play smart and keep everyone and everything happy and youll be a zoo tycoon	your chance to design the zoo of your wildest imagination is finally here design build and manageyou are the boss keep your guests and animals happy or face the consequences of hungry animals in this insanely fun zoo simulation",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.801078958,4.4375,0.76205291,0.237947082,0.88536875,16,1,Positive,4.4375,1,Positive,0.76205291,0.237947082,0.88536875
